VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_B,Total_D,Total_E,Total_F,Total_G,Total_H,Total_N,Total_-
20250911-r41224,63,0,2,7,3,18,36,40,132,640,0,0,0,0,15,0,38,0
20250915-r11225,104,0,0,7,16,25,29,20,41,1191,0,0,0,0,1,0,22,36
20250917-vr2506,6,0,0,0,1,3,43,218,560,591,0,0,0,0,35,0,360,0
20250918-r41225,33,0,0,7,13,27,28,73,126,619,0,0,0,0,46,0,0,40
20250922-r11226,68,0,0,3,3,5,4,8,35,592,0,0,0,0,14,0,0,690
20250924-vs5267,1002,0,0,1,2,8,23,74,124,838,0,1,0,0,67,4,412,1127
20250925-r41226,127,0,0,3,6,15,27,48,134,690,0,0,0,0,20,0,14,30
20250929-r11227,116,0,0,6,21,25,25,47,197,1016,0,0,0,0,1,0,0,0
20251002-r41227,433,0,3,5,17,14,36,75,170,645,0,0,0,0,22,0,0,58
20251006-r11228,108,0,0,0,0,7,4,4,19,856,0,0,0,0,8,0,0,14
20251008-vo5281,1,0,1,1,5,19,62,97,92,43,0,0,0,0,51,6,10,398
20251009-r41228,109,0,0,1,7,4,10,35,53,388,0,0,0,0,11,0,8,52
20251013-r11229,316,0,0,3,3,15,22,52,197,1030,0,0,0,0,24,0,0,0
20251016-r41229,86,0,0,1,10,13,39,93,227,573,0,0,0,0,16,0,6,70
20251020-r11230,155,4,18,55,67,49,56,110,186,973,0,0,0,0,18,1,2,154
20251022-vs5295,239,2,2,8,27,49,95,129,143,166,0,0,0,0,4,0,2149,0
20251023-r41230,40,0,0,0,4,9,9,44,228,750,0,0,0,0,28,0,0,100
20251027-r11231,129,0,2,10,34,60,52,115,208,1442,0,0,0,0,3,4,3,8
20251029-vo5302,8,2,1,15,42,83,119,145,204,109,0,0,0,0,101,0,351,0
20251030-r41231,109,0,6,5,7,18,34,55,215,643,0,0,0,0,34,0,0,58
20251103-r11232,91,0,0,5,18,20,28,63,133,866,0,0,0,0,0,0,0,0
20251105-vr2507,22,0,2,10,35,69,168,494,673,580,0,0,0,0,128,23,0,0
20251106-r41232,128,0,0,5,13,28,37,97,186,819,0,0,0,0,121,0,184,0
20251110-r11233,85,0,0,3,17,23,25,38,115,625,0,0,0,0,11,0,284,0
20251113-r41233,157,0,2,1,6,15,20,82,200,850,0,0,0,0,69,0,0,14
20251126-vo5330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251201-r11236,174,0,0,0,6,10,14,54,167,954,0,0,0,0,6,1,4,438
20251203-vr2508,82,0,0,1,7,23,63,202,746,1464,0,46,0,0,103,0,199,0
20251204-r41236,107,0,0,2,1,8,14,79,171,900,0,0,0,0,21,0,251,0
20251208-r11237,194,0,0,3,7,6,15,22,125,1640,0,0,0,0,17,13,76,0
20251210-vs5344,251,0,2,2,10,10,73,227,731,1275,0,0,0,0,160,22,23,9
20251211-r41237,128,0,0,2,4,11,10,47,102,716,0,0,0,0,32,0,256,0
20251215-r11238,166,0,0,11,44,78,95,112,236,1001,0,0,0,0,3,60,8,0
20251217-vo5351,1,0,2,1,6,34,54,127,668,475,0,0,0,0,35,0,0,74
20251218-r41238,83,0,0,1,6,15,25,78,236,939,0,0,0,0,53,0,14,0
20251222-r11239,151,3,0,22,56,65,79,126,243,936,0,0,0,0,4,1,20,2
20251229-r11240,100,0,0,0,1,2,1,18,93,1173,0,0,0,0,1,0,7,210
20260105-r11241,119,0,7,11,32,38,57,273,281,527,0,0,0,0,3,0,0,502
20260107-vo6007,197,1,0,0,2,13,58,161,333,511,0,0,0,0,158,0,7,521
20260108-r41241,208,0,1,4,10,34,50,131,194,677,0,0,0,0,47,0,58,0
20260112-r11242,389,0,1,17,55,100,80,90,76,1044,0,0,0,0,12,0,12,0
20260114-vo6014,201,0,0,0,2,8,73,263,697,710,0,0,0,0,89,0,2,0
20260115-r41242,185,0,0,1,6,11,24,52,93,505,0,0,0,0,69,9,94,475
20260119-r11243,163,0,3,11,39,51,47,110,283,1218,0,0,0,0,1,0,68,0
20260121-vr2601,24,0,0,1,3,13,62,282,445,457,0,0,0,0,76,0,712,0
20260122-r41243,109,0,0,0,6,18,21,68,140,695,0,0,0,0,49,0,232,204
20260126-r11244,97,5,4,22,27,35,34,80,210,594,0,0,0,0,6,4,2,432
20260128-vo6028,28,1,5,14,72,121,188,206,289,271,0,0,0,0,167,18,381,0
20260129-r41244,124,0,0,11,20,57,58,67,140,720,0,4,0,0,23,0,144,38
20260204-vo6035,13,0,0,7,5,11,51,246,536,910,0,2,0,0,102,63,6,0
20260205-r41245,283,0,1,8,20,37,37,66,113,710,0,0,0,0,61,0,10,510
20260209-r11246,227,2,4,17,25,67,55,59,96,1039,0,0,0,0,3,0,10,0
20260211-r30001,26,0,0,0,4,12,39,158,564,1073,0,0,0,0,73,1,5,0
20260212-r41246,141,0,0,0,0,4,12,33,118,926,0,0,0,0,24,0,154,0
20260216-r11247,53,0,1,9,18,20,42,108,434,1289,0,0,0,0,6,0,20,54
20260218-vo6049,14,1,0,0,0,0,29,128,543,925,0,0,0,0,66,0,0,0
20260219-r41247,133,0,0,1,1,5,10,56,219,895,0,28,0,0,52,0,134,0
20260223-r11248,99,0,0,0,12,29,50,129,361,1290,0,0,0,0,1,7,14,0
20260225-vo6056,12,2,0,0,2,7,33,103,620,898,0,0,0,0,65,0,3,0
20260226-r41248,94,3,9,24,36,23,45,30,127,526,0,0,0,0,37,0,50,0
20260302-r11249,95,0,2,14,29,46,53,30,77,604,0,0,0,0,0,6,26,140
20260309-r11250,169,2,2,20,34,48,26,43,55,659,0,0,0,0,15,7,16,658
